10784996,每想你一次，天空飘落一粒沙,三毛文传,夏风颜,,中国华侨出版社,2012-6,30.00元,6.4
6962656,三毛流浪记,全集,张乐平,,少年儿童出版社,2011-10,18.00元,9.2
2269132,三毛爱科学,,张乐平,,湖南人民出版社,1981,0.39元,7.8
3123887,三毛的世界,,司马中原，张拓芜，晓风，应未迟 等,,中国友谊出版公司,1989,2.80元,8.0
20380315,流光不负 岁月静好,三毛的美丽与哀愁,石天琦,,北京联合出版公司,2012-12,29.80元,6.3
4013637,稻草人手記,三毛全集[叁],三毛,,皇冠,1991,HK$35,9.1
3447902,三毛从军记,,张乐平,,中国连环画出版社,1996-2,9.60元,9.0
5413108,三毛傳,,陸士清、楊幼力、孫永超,,晨星,1993-7-31,NTD 180,7.3
10864433,三毛作品集,,三毛,,作家出版社,2007-2,48.8,9.2
3178404,三毛散文遗作·名篇·精言欣赏,,三毛,,中国国际广播出版社,1991年2月,4.5,7.7
7060984,万水千山,三毛,刘兰芳,,湖南师大,2011-9,32.80元,6.3
3014692,台湾名家名作丛书,,三毛等,,远方出版社,1999,12.00元,8.1
25763134,许我一生流浪，陪你地老天荒：三毛的今生今世,,翦秋水,,国际文化出版公司,2013-10-1,32.8,7.5
1985223,倾城之恋,,张爱玲,,北京十月文艺出版社,2006-12,29.80元,8.7
4273410,撒哈拉的故事,,三毛,,皇冠出版社,2008-09-12,HK$50,8.9
1432577,佛灭,二十世纪台港及海外华人文学经典,三毛、林海音,,花山文艺出版社,1994年1月第1版,9.00元,7.4
26253881,听说,,宏玖,,译林出版社,2014-11,36.80,8.4
20472859,我看到的世界和你们不一样,,眭澔平,,中国广播电视出版社,2013-1,38.00元,7.4
3773311,三毛三毛,,眭澔平,,中国广播电视出版社,2013-1,38.00元,7.4
20472859,我看到的世界和你们不一样,,眭澔平,,中国广播电视出版社,2013-1,38.00元,7.4
3348317,诸子百家看金庸Ⅰ,金庸茶馆,三毛 冯其庸等,,重庆大学出版社,2009年1月,24.00元,7.1
24323298,情若入画,便是桃花,三毛等七位多情才女的追梦一生,易丹,,武汉出版社,2013-6,29.80元,8.7
26286030,玛法达的世界（全十册）,,[阿根廷]季诺,三毛,上海文艺出版社,2014-12,220.00元,8.1
6827886,快樂鬧學去,,[阿根廷]季诺,三毛,上海文艺出版社,2014-12,220.00元,7.9
3172426,万水千山走遍,三毛散文全编,三毛,,漓江出版社,1986年10月,2.30,7.8
4733970,三毛物语,三毛之死:故事后的故事 三毛的100张面孔 三毛浪荡写真 三毛语录 三毛的,张景然,,广州出版社,1999-01,26.00,8.3
2227411,三毛——才女遗情佚事（光盘+书） (平装),,欧几木,,大连音像出版社,2006年6月1日,25.0,7.1
25845862,世间曾有三毛,,冷湖,,天津人民出版社,2014-1-1,CNY 29.80,7.2
26067543,一个人的撒哈拉,三毛传,墨倾城,,新世界出版社,2014-7-1,CNY 32.80,7.0
1098952,三毛解放记/精装,64开平装（上下）定价12.00元,张乐平,,译林出版社,2002-10-1,23,8.3
1044331,三毛流浪记,第一部全彩色注音故事,张乐平,,上海科学普及出版社,2000-04,20.00,8.1
1011375,三毛从军记,世界连环画漫画经典大系,张乐平,,译林出版社,2003-01,14.00,8.9
25927547,三毛流浪记,,作者：张乐平原著  上海美术电影制片厂摄制,,南方出版社,2014-8-20,48.00元,8.5
1197693,中国才女的红尘旧梦,,石白,,哈尔滨出版社,2004-12-1,28.00元,7.1
1098952,三毛解放记/精装,64开平装（上下）定价12.00元,张乐平,,译林出版社,2002-10-1,23,8.3
25927547,三毛流浪记,,作者：张乐平原著  上海美术电影制片厂摄制,,南方出版社,2014-8-20,48.00元,8.5
5375614,三毛散文全编,,作者：张乐平原著  上海美术电影制片厂摄制,,南方出版社,2014-8-20,48.00元,9.2
3313324,谈心,,三毛,,中国友谊出版公司,1990,1.60,7.8
26279283,你是锦瑟 我为流年,,白落梅,,中国华侨出版社,2015-1,36.00元,7.2
20396724,你若盛开 清风自来-世间曾有三毛,世间曾有三毛,冷湖,,华文出版社,2013-1-1,29.80元,6.7
3243018,随想,,三毛,,陕西旅游出版社,1993,2.95,7.3
1050339,文化苦旅,,余秋雨,,东方出版中心,2001-4,22.00元,7.8
1388224,半生緣,,余秋雨,,东方出版中心,2001-4,22.00元,8.3
3107506,三毛之死,,李穆、刘任,,中国国际广播出版社,1991-1,3.20元,6.8
25863697,三毛,你若不离不弃，我必生死相依,熙弦,,光明日报出版社,2014-4,29.80元,7.3
1069753,走进生物王国/三毛大世界,,李名慈,,少年儿童出版社,1997-7-1,26.00,8.7
1911577,永远珍藏的三毛（全十册）,,张乐平,,少年儿童出版社,2006-7,150.00元,7.8
5299768,希腊左巴,,（希腊）尼科斯·卡赞扎基,王振基、范仲亮,万卷出版公司,2010-10,25.00元,8.6
1014278,红玫瑰与白玫瑰,,张爱玲,,花城出版社,1996-06,12.80元,8.4
1029824,三毛日记,,张乐平,,少年儿童出版社,1997-9,13.00元,7.6
5299768,希腊左巴,,（希腊）尼科斯·卡赞扎基,王振基、范仲亮,万卷出版公司,2010-10,25.00元,8.6
23714005,因为懂得,所以慈悲,,白落梅,,中国华侨出版社,2013-4,36.00元,7.0
1084336,小王子,,[法] 圣埃克苏佩里,马振聘,人民文学出版社,2003-8,22.00元,9.0
1066462,向左走·向右走,,幾米,,生活·读书·新知三联书店,2002-8,16.00元,8.4
1200840,平凡的世界（全三部）,,路遥,,人民文学出版社,2005-1,64.00元,9.0
1788967,我们这一代,,肖全,,花城出版社,2006-4,39.80元,8.6
1792258,三毛从军记,,张乐平,,译林出版,2006-4,11.00元,9.4
6388661,这些人，那些事,,吴念真,,译林出版社,2011-9,28.00元,8.8
1849335,从川端康成到三毛,世界著名作家自杀心理探秘,鲍维娜,,陕西旅游出版社,1998-8,18元,7.1
26304334,永远的红尘追梦人,三毛传,翟晓斐,,华中科技大学出版社,2015-3,29.80元,7.3
1076513,张乐平漫画选,,张乐平,,少年儿童出版社,1993-9-1,48.00,8.4
1200840,平凡的世界（全三部）,,路遥,,人民文学出版社,2005-1,64.00元,9.0
2331698,独身女人,台港女作家作品选,亦舒、施叔青、三毛,,桂林：漓江出版社,1986.09,1.60 元,7.4
1849335,从川端康成到三毛,世界著名作家自杀心理探秘,鲍维娜,,陕西旅游出版社,1998-8,18元,7.1
6388661,这些人，那些事,,吴念真,,译林出版社,2011-9,28.00元,8.8
1030810,三毛迎解放,,张乐平,,少年儿童出版社,1996-12,8.80元,8.4
10757939,红玫瑰与白玫瑰,张爱玲全集02——小说,张爱玲,,北京十月文艺出版社,2012-6,28.00元,8.5
1125186,半生緣,,張愛玲,,花城出版社,1997.03,18.20元,8.5
1027041,张乐平连环漫画全集（全二册）,,洪佩奇 编,,译林出版社,2000-10,89.00元,7.4
10594787,霍乱时期的爱情,,[哥伦比亚] 加西亚·马尔克斯,杨玲,南海出版公司,2012-9-1,39.50元,8.9
6974199,小毛驴与我,,[西] 希梅内斯,林为正,青岛出版社,2011-11,29.00元,8.5
1858513,月亮和六便士,,[英] 毛姆,傅惟慈,上海译文出版社,2006-8,15.00元,8.9
10472905,三毛作品集,,三毛,,北岳文艺出版社,2003-12,28.00元,7.7
1125186,半生緣,,張愛玲,,花城出版社,1997.03,18.20元,8.5
1082154,活着,,余华,,南海出版公司,1998-5,12.00元,9.1
1081071,中国才女,,石白,,中国妇女出版社,2003-01,20.00,7.3
1046385,毒,,韩寒,,中国青年出版社,2002-10,19.00元,7.1
1027041,张乐平连环漫画全集（全二册）,,洪佩奇 编,,译林出版社,2000-10,89.00元,7.4
25856492,来不及好好告别  三毛传,,洪佩奇 编,,译林出版社,2000-10,89.00元,6.4
1858513,月亮和六便士,,[英] 毛姆,傅惟慈,上海译文出版社,2006-8,15.00元,8.9
10757939,红玫瑰与白玫瑰,张爱玲全集02——小说,张爱玲,,北京十月文艺出版社,2012-6,28.00元,8.5
