1264792,色铅笔的散步随笔,,秋草爱+伙伴们、李俊秀,李俊秀,汕头大学出版社,2005-3-1,18.00元,8.7
26816953,图像的肉身,在绘画与电影之间,[法] 莫罗•卡波内（Mauro Carbone）,曲晓蕊,华东师范大学出版社,2016-6-1,38.00,7.7
1061004,埃舍尔大师图典,,埃舍尔,,陕西师范大学出版社,2003-11-1,48.00,9.2
26378537,古画里的中国生活,,孟晖,,中信出版社,2014-4-25,18.00元,7.5
26417642,蒋勋破解莫奈之美,,蒋勋,,北京联合出版公司,2015-7,49.80,7.7
2221283,苦瓜和尚画语录,,石涛,,山东画报出版社,2007-8,23.00元,8.9
1264793,水彩画的写意生活,,秋草爱+伙伴们、朱丽真,朱丽真,汕头大学出版社,2005-3-1,18.00元,8.4
2026870,阿尔丰斯·穆夏,,[捷克]Mucha,,吉林美术,2007-1-1,79.00,9.4
1808314,怎样画钢笔画,,（美）克劳狄亚·柰斯,,常宁生,2001-1,24.00元,8.9
5936451,伯里曼着装形体绘画,,乔治·B·伯里曼,李秋实、刘乐,湖南美术,2011-2,25.80元,9.6
1480064,夏加尔,醉心梦幻意象的画家,Daniel Marchesseau,周梦罴,上海译文出版社,2003,35.00,8.7
26712691,解忧禅绕画,全球137位艺术家的创意之美,[美]苏珊娜·麦克尼尔（Suzanne McNeill）、辛迪·谢帕德（Cindy Shepard）,李阳琨,北京联合出版公司·后浪出版公司,2016-3,68.00元,8.2
22163122,How to Draw Drawing and Sketching Objects and Environments from Your Imagination,,Robertson, Scott、Thomas Bertling,,Design Studio Press,2013-11-1,276.33,9.4
1962817,英国速写教学,英国速写教学,朱迪 马丁,黄超成,广西美术出版社,2006-10,45.00,8.3
5475189,A-Z of Flower Portraits,An Illustrated Guide to Painting 40 Beautiful Flowers in Watercolour,Billy Showell,,Search Press,2010-8-4,USD 35.00,9.5
1452345,徒手绘画及速写,,（德）霍伊泽尔,彭蕴琏、王乃川,安徽科学技术出版社,2002-6-1,30.0,8.8
26610898,竹久梦二画集,,[日] 竹久梦二,,浙江人民美术出版社,2015-7-1,118,8.5
5980848,美国设计学院教授讲课手稿·奥列佛风景速写教学,奥列佛风景速写教学,R.S.奥列佛,,广西美术,2010-12,45.00元,8.8
1134620,席勒油画.水彩,,亚力 编,,,2004-1,49.00元,9.2
1437472,笔记《清明上河图》,,赵广超,,生活·读书·新知三联书店,2005-7,88.00元,8.9
26647513,关于构图问题,,潘天寿,,浙江人民美术出版社,2015-10,10.00元,8.7
25952069,色铅笔浓情花鸟绘（亚洲篇）,,木卮,,机械工业出版社,2014-8-1,CNY 39.80,9.0
20516764,更大的信息,戴维·霍克尼谈艺录,[英] 马丁·盖福特,王燕飞,上海人民美术出版社,2013-1,78.00元,8.5
26931151,被误诊的艺术史,,董悠悠,,中国友谊出版公司,2016-12,55,8.9
26339251,人生随时可以重来,,摩西奶奶,蒋春,同心出版社,2015-3-1,45.00,6.8
5915006,世界绘画经典教程,风景素描,[美]Jack Hamm,孙峰,人民邮电出版社,2011-1,35.00元,9.0
26882908,图解欧洲艺术史：15世纪,透视、佛罗伦萨、达•芬奇与人文主义,[意] 斯特凡诺•祖菲,王斌,北京联合出版公司,2016-10,88.00,8.3
1668807,美国透视基础简明教程,,肯尼斯·W·奥维尔,梵非,上海人民美术出版社,2005-6,25.00元,8.3
5391697,水彩色铅笔散步写生6堂课,,[日]杉原美由樹,楊鴻儒,三悅文化-瑞昇,2010-4-24,NT250.00,9.1
26281082,涂鸦笔记,,迈克·罗笛 (Mike Rohde),毛泡泡,电子工业出版社,2014-11-1,CNY 69.00,7.4
6511379,色铅笔的美好时光,,轶菡,,人民邮电出版社,2011-6,29.00元,8.1
1956148,面部表情大全,,[美] 马克·西门,谢未,上海人民美术出版社,2007-1,48.00元,8.5
4104397,彰显生命力,动态素描解析,马特斯,程雪、孙博,人民邮电出版社,2009-10,39.00元,8.9
26290094,12堂风景速写课,训练观察力、激发创意、画出你的个人风格,［英］詹姆斯•霍博思,马云轩,上海人民美术出版社,2015-1-1,68.00,7.4
2138351,E.席勒速写,,席勒,,吉林美术出版社,2005-3-1,18,9.2
