2117066,夜船吹笛雨潇潇,,沧月,,新世界出版社,2007-5,23.00元,7.7
25919826,王道剑,,上官鼎,,生活·读书·新知三联书店,2014-8,129.00,7.0
11613971,江湖不挨刀,,耳雅,,浙江文艺出版社,2012-8,29.80元,7.9
1014493,萍踪侠影录,,梁羽生,,广东旅游出版社,1996-03,30.0,8.0
6851076,绿林七宗罪,,三月初七,,长江文艺出版社,2011-9,39.00元,8.5
1617438,五凤朝阳刀(全八册),,冯家文,,京华出版社,2005-1,198.00元,8.0
1136998,楚留香传奇系列,全四册,古龙著,,太白文艺出版社,2001-10-1,88.0,8.7
3528109,千门1·千门之门,,方白羽,,二十一世纪出版社,2009-1,15.00元,8.4
1443458,迷行记,,施定柔,,朝华出版社,2005-11,20.0,7.9
6525627,葵花宝典,一本书与百年武林史,张璟琳,,万卷出版公司,2011-10,29.80元,7.7
3550509,英雄志【一】西涼風暴,,孫曉,,講武堂,2000年08月15日,NT99,8.6
3128115,鸳鸯刀,,孫曉,,講武堂,2000年08月15日,NT99,6.4
1964560,沧海,,沧月,,新世界出版社,2007-1,23.00元,7.5
1692012,烟波江南Ⅰ·梨花落·碧玉钗,,香蝶,,华艺出版社,2006-2-1,18.00元,8.0
1426214,少林寺第八铜人,,九把刀,,新世界出版社,2005-08,20.0,8.1
25732720,无方少年游（全两册）,,四木,,光明日报出版社,2013-8,55.00元,7.8
1276930,香初上舞·再上,,藤萍,,广西人民出版社,2005-3-1,18.0,9.0
1271593,覆雨翻云,,黄易,,华艺出版社,2000-08,168.00元,7.7
26416533,坐看重围,电影《师父》武打设计,徐皓峰,,人民文学出版社,2015-6,36.00元,8.1
3873891,苏旷传奇之重整河山待后生,,飘灯,,江苏文艺出版社,2009-7,25.00元,8.6
2212712,独步乾坤1,,（韩）龙大云,千太阳,花山文艺出版社,2007-08,24.8,7.2
1925201,如梦令·三窃,茗剑传奇系列第三部,水珠儿,,中国三峡出版社,2006-07,22.0,7.8
3114310,开唐之教坊,,小椴,,花山文艺出版社,2008,25.00元,8.3
1059644,七剑下天山,,梁羽生,,广东旅游出版社,1996-03,29.0,7.5
1460275,逝雪,,沈璎璎,,新世界出版社,2005-7,19.0,7.7
1349092,吳鉤（上）,,沈純,,威向,20050401,NT$ 180,8.4
10488635,金庸识小录,,严晓星,,中华书局,2012-8,27.00元,7.2
2351258,剑海鹰扬,,司马翎,,当代世界出版社,2008-01,65.0,7.5
3211103,越女剑,Beautiful Rooms, Inspiring Stories,金庸,,Simon & Schuster,2008-09-09,USD 25.00,7.2
1810238,逝鸿传说,,碎石,,新世界出版社,2006-4,19.00元,7.7
6802393,大漠荒颜·帝都赋,鼎剑阁·沧月十周年珍藏版,沧月,,时代文艺出版社,2011-9-22,29.80元,8.0
26763010,千秋,,沧月,,时代文艺出版社,2011-9-22,29.80元,8.1
6813394,曼珠沙华·彼岸花,鼎剑阁·沧月十周年珍藏版,沧月,,时代文艺出版社,2011-9-25,29.80元,7.7
3346165,千门公子,,沧月,,时代文艺出版社,2011-9-25,29.80元,8.5
26892370,只怪众生太美丽：从金庸江湖中读出的现实人生,,西湘,,青岛出版社,2016-10,36.00,7.5
3179889,解构金庸,,林保淳,,中国致公出版社,2008-7,28.00元,7.4
3178968,妖刀記2,红螺染枫,默默猴,,河图文化,2008,台币160元,9.0
1915693,七杀碑,,朱贞木,,北方文艺出版社,1988年4月第1版 第1次印刷,5.00,8.0
1908392,金庸小說的女子,,吳靄儀,,遠流,1998年2月1日,NTD180元,8.2
1899883,剑歌,听雪楼续篇,沧月,,新世界出版社,2007-11,20.00元,7.7
2078219,且试天下1,,倾泠月,,二十一世纪出版社,2007-5,23.00元,8.0
11599246,量子江湖·燕子坞（下）,,陈怅,,北京联合出版公司,2012-10,28.00元,7.8
1455053,昆仑5,劫波卷,凤歌,,团结出版社,2005-12,20.00元,8.7
1455373,神州奇侠,,温瑞安,,花城出版社,1995-1,88.60,8.4
3260302,中国武侠史,,陈山,,上海三联出版社,1992,15.20,7.7
1512937,四大名捕会京师(上下),,温瑞安,,花城出版社,1995-03-01,27.0,7.7
1845109,小椴作品,中国新武侠典藏书系,小椴,,长江文艺出版社,2006-7,28.00元,8.6
2212711,独步乾坤2,,（韩）龙大云,千太阳,花山文艺出版社,2007-08,24.80元,7.5
1438712,昆仑4,龙游卷,凤歌,,团结出版社,2005-10,20.00元,8.7
1490048,昆仑6,天道卷,凤歌,,团结出版社,2006-1,22.00元,8.7
1055101,金庸武侠小说全集（电子图书二碟装）,,金庸,,青苹果数据中心,2001-08,48.00,9.5
3336960,沧海明月·凝碧卷,,沧月,,２１世纪出版社,2008-12,20.00,8.5
1089513,白玉老虎（上下）,,古龙,,珠海出版社,2005-8,38.00元,7.5
5350181,月满霜河（全两册）,,箫楼,,沈阳出版社,2010-10,49.80元,7.5
2083826,清明记,,箫楼,,沈阳出版社,2010-10,49.80元,8.3
2042466,青龙燕铁衣,,柳残阳,,花山文艺出版社,1990.3,16,7.7
1762129,昆仑前传,,凤歌,,北方文艺出版社,2006-03,20.0,8.3
3001340,大悲咒,,张兵,,上海辞书出版社,2015-2,198.00元,9.6
1932401,乱世铜炉,,张兵,,上海辞书出版社,2015-2,198.00元,9.0
2030732,论剑：武侠小说谈艺录,,叶洪生,,学林出版社,1997.2,20,7.9
1585798,鹤惊昆仑（上下）,,王度庐,,群众出版社,2000-10-01,30.0,7.6
11503640,隆庆天下,英雄志前传,孙晓,,丞市,2009,NTD250,8.5
1545901,金庸小说论稿,,严家炎,,北京大学,2000-1,16.00元,7.2
2009119,秦时明月-荆轲外传,,温世仁,,现代出版社,2007-2,24.00元,7.4
6737930,寒鸦劫,,盛颜,,春风文艺出版社,2011-7-1,18.00元,7.6
3127813,狐魅天下·第三部·故山旧侣,,藤萍,,作家出版社,2008-06,25.0,8.7
5417484,幻世·剑歌·碧城,鼎剑阁·沧月十周年珍藏版,沧月,,时代文艺出版社,2011-9,29.80元,7.7
2292275,飞刀，又见飞刀,,古龙,,北岳文艺出版社,1994-10,9.80,6.8
1824256,破阵子·龙吟,茗剑传奇系列第一部,飘灯,,朝华出版社,2006-05,22.0,8.2
2003987,殺禪 （第一卷）：暴力集團,,喬靖夫,,蓋亞,2007年02月06日,180,8.2
4250750,妖刀記1,荒塜妖刀,默默猴,,河圖文化,2008年03月28日,NTD160,8.4
1738640,英雄无泪,,古龙,,珠海出版社,2005-08,16.0,7.7
3053424,乾坤残梦（上中下）,《天龙八部》续集,西门欢,,云南人民出版社,1991年12月,12.85,7.1
1430910,昆仑2,纯阳卷,凤歌,,团结出版社,2005-9,20.00元,8.7
1033866,浣花洗剑录（上下）,,古龙,,珠海出版社,2005-8,42.00元,7.1
5984668,卅三剑客图（全四册）,,周育顺，任渭长,,天津古籍出版社,2010-11,380.00元,8.4
1459615,玉娇龙,,聂云岚,,湖北人民出版社,2000年8月,45.00,8.4
3938304,江山如此多娇,,泥人,,台湾说频出版社,2004-10-12,12.80元,8.3
25886167,武人琴音,,徐皓峰、徐骏峰,,人民文学出版社,2014-4,29.00,8.6
4783285,明日歌·山河曲1,,楚惜刀,,沈阳出版社,2010-4,29.80元,7.8
1919221,人间六道之修罗道,,步非烟,,二十一世纪出版社,2006-11,20.0,8.0
3336964,沧海明月·承影卷,,沧月,,２１世纪出版社,2008-12,25.00,8.7
3215398,檀车侠影（上下）,,司马翎,,当代世界出版社,2008-09,65.00元,8.0
3126696,说英雄谁是英雄,,司马翎,,当代世界出版社,2008-09,65.00元,8.6
1429203,仙剑奇侠传,,邓紫珊,,接力出版社,2005-7,22.80元,7.3
1844851,洛阳女儿行·卷三,,小椴,,新世界出版社,2006-07,20.0,8.5
1801948,温柔一刀,说英雄 谁是英雄·第一部,温瑞安,,广西人民出版社,2006-05,38.0,7.8
24858338,武道狂之詩 卷十三：武當之戰,卷十三：武當之戰,喬靖夫,,天行者出版,2013-7-17,HK$78.00,9.0
4167100,天下不帅,,李惟七,,江苏文艺出版社,2009-12,25.00元,8.1
3106018,侠的精神文化史论,,龚鹏程,,山东画报出版社,2008-5,43.00元,7.7
3121041,碧城,全彩绘本,沧月（著）、唐卡（绘）,,２１世纪出版社,2008-06,25.00元,8.1
1966337,紫诏天音,,步非烟,,２１世纪出版社,2007-01,22.0,7.3
1469429,相思门,,菖蒲,,接力出版社,2006-1-1,16.8,8.4
3032934,神州传奇,,戊戟,,广东人民出版社,1992.12,26,8.0
2351261,纤手驭龙（上下）,,司马翎,,当代世界出版社,2008-01,62.00元,7.6
3336953,沧海明月·流光卷,,沧月,,２１世纪出版社,2008-12,25.00,8.5
1021605,大唐游侠传,,梁羽生,,广东旅游出版社,1996-03,35.0,7.4
2029578,秦时明月-百步飞剑,,温世仁,,现代出版社,2007-2,16.00元,7.8
20469509,秦时明月-亡秦必楚,,温世仁,,现代出版社,2007-2,16.00元,7.6
3414470,奇侠精忠全传,,赵焕亭,,新星出版社,2009-1,98.00元,7.6
1364416,英雄志【十九】王者之上,,孫曉,,講武堂,2005年02月01日,NT$ 220,8.9
2011423,光明皇帝,业火,江南,,新星出版社,2007-2,22.00元,7.4
1089519,大旗英雄传（上下）,,古龙,,珠海出版社,2005-8,31.80元,7.5
3313239,沧海明月·拜月卷,,沧月,,２１世纪出版社,2008-11,20.00,8.8
4827396,三京畫本,,盛顏,繪者：愛爾菲,明日工作室,2010年04月28日,NT$ 280,8.6
26313480,暗杀1905 第2部,,巫童,,海峡书局,2015-3,32.00元,8.6
26758991,神偷天下 2,靛海奇缘,郑丰,,台海出版社,2016-6,32.00元,8.2
1114695,刀丛里的诗,,温瑞安,,花城出版社,1996-10-01,21.8,7.7
1905837,偷天弓,,时未寒,,新世界出版社,2006-10,20.0,8.1
20516994,陆小凤传奇7：剑神一笑,,古龙,,河南文艺出版社,2013-5,29.00元,7.0
3310839,沧海明月·夕影卷,,沧月,,２１世纪出版社,2008-11,20.00,8.6
1738639,九月鹰飞,,古龙,,珠海出版社,2005-8,22.00元,7.5
1310316,铁骑银瓶（上中下）,,古龙,,珠海出版社,2005-8,22.00元,7.5
1512741,护花铃（上下）,,古龙,,珠海出版社,2005-08,35.0,7.0
2034955,鹰爪王,晚清民国小说研究丛书,郑证因,,吉林文史出版社,1988-4,3.15元,7.7
10574383,武道狂之詩 卷十一,剑豪战争,喬靖夫,,蓋亞文化有限公司,2012-7,NTD199元,8.3
6795815,明日歌·山河曲终结篇,,楚惜刀,,沈阳出版社,2011-9,29.80元,8.3
3002672,狐魅天下·第二部·神武衣冠,,藤萍,,作家出版社,2008-02,25.0,8.7
4148147,侠士道,金庸小说与中国精神,徐岱,,北京大学出版社,2009-11,45.00元,8.0
2141423,指间砂,,沧月 原著、李堃 绘画,,北方文艺出版社,2007-06,20.00元,7.8
26681246,洗心问剑·壹,,燕垒生,,新星出版社,2016-5,36.00元,7.4
21336104,灵飞经·第三卷·印神无双,印神无双,凤歌,,长江出版社,2013-1,10.00元,7.3
1089509,圆月弯刀,,古龙,,珠海出版社,2005-8,25.00元,7.0
1491421,迷神记,,施定柔,,朝华出版社,2006-01,20.0,7.6
3070511,偷拳,宫白羽武侠小说全集,白羽,,北岳文艺出版社,1992.10,4.80元,8.1
4009904,金台三打少林寺,,楼云和 编写,,浙江文艺出版社,1986年,2.80元,7.1
1438710,昆仑3,破城卷,凤歌,,团结出版社,2005-10,20.00元,8.7
2257729,杨小邪发威,小邪神/神奇杨小邪,李凉,,延边人民出版社,1996,28.50,7.7
20405966,听雪楼沧月系列系列典藉版（全三册）,,李凉,,延边人民出版社,1996,28.50,8.6
3095338,黑鹰传奇,,戊戟,,广东经济出版社,1997.2,RMB50,7.8
25982337,江湖绝杀令,,戊戟,,广东经济出版社,1997.2,RMB50,8.9
1261296,三侠五义,,（清）石玉昆,,华夏出版社,1998-01,31.50,7.4
25890347,天涯客（上册）,琉璃甲,（清）石玉昆,,华夏出版社,1998-01,31.50,8.3
1829534,杨叛作品,,杨叛,,长江文艺出版社,2006-7,23.00元,8.3
5976423,杨小邪 三部曲,,卧龙生,,花城出版社,1998,19.80,7.2
3345618,江湖异人传,,平江不肖生,,华夏出版社,1999,27.00元,7.8
20516996,陆小凤传奇3：决战前后,,古龙,,河南文艺出版社,2013-5-1,29.00元,8.5
2033217,九阴九阳,,金庸新,,长春出版社,1993-01-01,13.50元,5.6
24720954,灵飞经·第五卷·龙生九子,,凤歌,,长江出版社,2013-6,10.00元,7.4
6522069,雁飛殘月天（第一卷）──龍驤樓（全三冊）,拔剑诀云,王晴川,,中原社,2009-5,HK$168.00,8.3
1879024,湄澜池,,蓝莲花,,国际文化出版公司,2006-08,18.80元,7.2
1465135,情锁,,藤萍,,广西人民出版社,2005-11,26.8,8.2
1437120,荒原雪,,沧月,,新世界出版社,2005-9,19.00元,7.6
5991565,奇神楊小邪（1）,奇神楊小邪系列,沧月,,新世界出版社,2005-9,19.00元,7.5
1219167,流星蝴蝶剑（全6册）,,古龙 原著、赵汝德 编绘,,百家出版社,2001-2,54.00元,8.0
6901374,傀儡之宫,,杨叛,,春风文艺出版社,2011-8,24.00元,8.1
1987495,沧海Ⅱ,,凤歌,,重庆出版社,2007-02,20.00元,8.5
3321449,韦帅望的江湖之大刃无锋,,晴川,,湖北辞书出版社,2008-12,26.00元,9.1
1084786,宝剑金钗,,王度庐,,群众出版社,2000-10,28.00元,7.9
1607100,甘十九妹（上、下）,,(美)萧逸 著,,太白文艺出版社,1998-10-01,45.00元,7.2
25773513,雪中悍刀行 3,春雷闯江湖,(美)萧逸 著,,太白文艺出版社,1998-10-01,45.00元,8.5
1511646,大剑师传奇（全三册）,,黄易,,华艺出版社,1998-2,75.00元,6.7
4216630,新仙鹤神针（上下）,,卧龙生,,江苏文艺出版社,1996-4,36.00元,6.2
26333691,暗杀1905 第3部•大结局,,巫童,,海峡书局,2015-5,49.90元,7.4
1738645,剑花·烟雨·江南,,古龙,,珠海出版社,2005-08,18.0,6.9
2351259,大漠荒颜·帝都赋,,沧月,,新世界出版社,2007-11,20.0,8.2
4167114,巫山传,,扶兰,,江苏文艺出版社,2009-12,26.80元,7.9
25890348,天涯客（下册）,山河令,扶兰,,江苏文艺出版社,2009-12,26.80元,8.4
1203452,七侠五义,,石玉昆,,上海古籍出版社,2000-5-1,28.60,7.6
20516998,陆小凤传奇2：绣花大盗,,古龙,,河南文艺出版社,2013-5-1,26.00元,8.2
4264090,再弹一弦江湖曲,中国武侠电影漫笔,小飞,,百花文艺出版社,2010-1,38.00元,8.3
2080619,且试天下2,,倾泠月,,二十一世纪出版社,2007-5,23.00元,8.2
20396039,武侠大宗师：张彻,,魏君子 主编,,复旦大学出版社,2013-1,48.00元,8.6
20516992,陆小凤传奇5：幽灵山庄,,古龙,,河南文艺出版社,2013-5-1,32.00元,8.0
2170313,绝不低头（上中下）,,古龙,,北岳文艺出版社,1993,14.50元,7.6
3223039,一两江湖,,一两,,内蒙古人民出版社,2007年4月,11.80,7.4
3891613,茧,,一两,,内蒙古人民出版社,2007年4月,11.80,7.8
10729469,他日相逢,,趙晨光,,明日工作室,2012-4-19,NT280,8.7
1837342,雍正剑侠图,剑山蓬莱岛,李鑫荃,,中华书局,2006-6,32.00元,7.5
1489614,武侠文化通论,,王立,,人民出版社,2005-3,25.00元,7.6
2170250,血海飘香,楚留香传奇,古龙,,云南人民出版社,1988,2.55,8.0
20397341,楚留香新传2：蝙蝠传奇,,古龙,,河南文艺出版社,2013-5,42.00元,8.1
2077528,沈胜衣传奇系列,太白文艺出版社于1994年使用同一isbn出版沈胜衣传奇十五本，作者名伪托,古龙,,河南文艺出版社,2013-5,42.00元,7.1
1041810,古龙英雄谱,,飞刀小蔡,,现代出版社,2003-09-01,18.00,7.6
1264931,大地飞鹰,,古龙,,珠海出版社,2005-08,25.0,7.0
1512982,碎梦刀,四大名捕会京师续集,温瑞安,,花城出版社,1996-10,20.8,7.5
1492419,落日,,飘灯,,广西人民出版社,2006-02,22.8,7.8
20388735,武林的黄昏,一部充满哲思的旷世武侠传奇,巫怀宇,,江苏文艺出版社,2012-10,25.00元,7.4
1088936,神雕侠侣·金庸武侠全集评点本（全四册）,,金庸,,文化艺术出版社,1998-8-1,92,8.8
1844849,洛阳女儿行·卷二,,小椴,,新世界出版社,2006-07,20.0,8.5
3528110,千门2·千门之花,,方白羽,,二十一世纪出版社,2009-1,15.00元,8.3
26642037,风啸长宁·壹,剑网3官方小说系列,碎石,,新星出版社,2015-12-1,36.00,6.8
3294671,十二金钱镖,,宫白羽,,华夏出版社,1987-05,9.80(全四册),7.6
1264578,飘香剑雨（上下）,,古龙,,珠海出版社,2005-08,40.0,6.4
1048265,白眉大侠（全三册）,,单田芳,,群众出版社,1999-1,83.00元,8.6
3577800,韦帅望的江湖(Ⅲ众望所归),,晴川,,崇文书局,2009-1,26.00元,9.1
2595345,飞花青离传之刺客传奇（上）,,月裹鸿声,,接力出版社,2008-1-1,22.0,8.1
1738651,风铃中的刀声,,古龙,,珠海出版社,2005-08,18.0,7.2
2213781,沧海Ⅳ,,凤歌,,重庆出版社,2007-08,20.0,8.5
1449225,风云（第一部）,,马荣成，丹青,,天下出版有限公司,2005-9,18.00元,8.7
5312854,電光影裡斬春風,剖析武俠片的肌理脈胳,蒲鋒,,香港電影評論學會,2010-09,HKD 88,7.8
25914765,武道狂之詩 卷十四 山．火．海,,喬靖夫,,天行者出版,2014-6-30,HK$78.00,8.1
1917603,铁臂金刀周侗传,,汪运衡、筱云龙,,浙江人民出版社,1986,2.10,7.0
3593982,跑跑江湖打打酱油（全二册）,,十四郎,,珠海出版社,2009-3,48.00元,7.3
1918498,中国侠文化史,,曹正文,,上海文艺出版社,1994-04-01,19.00,7.2
