"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"3242153","蝴蝶的皇冠2","","轻寒","","世界知识出版社","2008-10","25.00元","8.3"
"19946145","终难忘（上下）","","'轻寒'","''","'世界知识出版社'","'2008-10'","'25.00元'","6.5"
"2009120","清梦无痕1","","妖叶","","花山文艺出版社","2007-01","20.0","7.1"
"3007469","盛世红妆","","宓拉","","现代出版社","2008-03","24.80元","6.2"
"10345006","乱世红颜（全三册）","","林家成","","金城出版社","2012-2","76.80元","6.1"
"25769482","失落的唐骑之中亚大战","","'林家成'","''","'金城出版社'","'2012-2'","'76.80元'","7.4"
"3273381","超时空元气一班","","米朵拉","","汕头大学出版社","2008-11","24.0","7.9"
"3755378","因缘妙美人（上下）","","'米朵拉'","''","'汕头大学出版社'","'2008-11'","'24.0'","5.2"
"2262888","四时花开之还魂女儿国1","","宫藤深秀","","２１世纪出版社","2007-09","23.8","6.4"
"25806016","凤啸云歌（上下）","","雪山小小鹿","","江苏文艺出版社","2014-2","55.00元","6.6"
"3785166","王的宠姬（上）","","秦赢儿","","北方文艺","1970-1","23.80元","7.3"
"25955140","宫廷记事","","月下蝶影","","时代华文书局","2014-8","25.00元","6.6"
"3725543","零陵飘香（上下）","","'月下蝶影'","''","'时代华文书局'","'2014-8'","'25.00元'","6.9"
"2304547","许你来生（全2册）","","叶紫","","朝华出版社","2007-10","48.0","6.1"
"3908898","混在三国当军阀","","寂寞剑客","","珠海","2009-11","26.00元","7.3"
"20413735","神医傻妃（上中下）","","唐梦若影","","江苏文艺出版社","2012-12","79.80元","5.5"
"21817765","妃来横祸（上）","","江小湖","","北方联合出版传媒(集团)股份有限公司,春风文艺出版社","2013-3","24.80元","6.2"
"2158876","情倾天下","","明珠","","陕西师范大学出版社","2007-07","20.0","6.4"
"10527509","云倾天阙","","素素雪","","江苏文艺出版社","2012-3","59.80元","6.6"
"3414424","唐朝好男人（卷6）","","'素素雪'","''","'江苏文艺出版社'","'2012-3'","'59.80元'","7.3"
"3222624","江湖","","月下箫声","","陕西师范大学出版社","2008-10","25.00元","6.9"
"10792967","银月巫女","","梦三生","","新世界出版社","2012-6","29.80元","6.4"
"3056121","宫斗（上下）","","凌昊雨","","陕西师范大学出版社","2008-06","48.0","5.7"
"4931716","三世书（上下册）","","骄凰","","敦煌文艺","2010-7","39.00元","7.2"
"10442137","宫锁心玉","","于正 原著、天下倾城 改编","","江苏文艺出版社","2012-1","49.80元","5.5"
"25765016","三生三世彼岸花（上下）","","女巫的猫、abbyahy","","江苏文艺出版社","2013-11","55.00元","7.3"
"2262885","爱在唐朝","","杨家丫头","","朝华出版社","2007-09","22.8","6.0"
"6139577","倦尋芳","","蝴蝶seba","","雅书堂","2011-2-10","240","8.0"
"2080772","情倾三国（全2册）","","晓月听风","","珠海出版社","2007-05","44.0","6.4"
"4175343","好女十八嫁（上下）","","花落重来","","江苏文艺出版社","2010-1","49.80元","6.1"
"1822788","狩猎美男（大结局）","","Stein","","华文出版社","2006-06","20.0","7.3"
"25817978","朕本红妆·完美终结","","央央","","江苏文艺出版社","2014-2","59.80","7.2"
"3698013","梨花雪后（套装上下册）","","东篱菊隐","","百花文艺","2009-4","45.00元","6.2"
"2305267","巧婢奇缘（上下）","","几境尘","","朝华出版社","2007-01","48.0","6.6"
"6390807","妃倾天下","","轻尘如风","","春风文艺出版社","2011-5","18.00元","5.6"
"3823675","貌似高手在异界4","","'轻尘如风'","''","'春风文艺出版社'","'2011-5'","'18.00元'","7.0"
"3815246","极品太子妃","","圆不破","","百花洲文艺","2009-4","22.50元","7.0"
"26747184","大宋的智慧1","","孑与2","","广东旅游出版社","2016-3","32.00","7.7"
"3287735","静思","","卫风","","朝华出版社","2008-11","29.80元","7.0"
"3255919","窃明5","","灰熊猫","","长征出版社","2008-10","29.80元","8.1"
"3808985","折兰勾玉杏向晚","","明月别枝","","花山文艺出版社","2009年6月","28.00元","6.7"
"1956593","青莲纪事 2","","葡萄","","中国友谊出版公司","2006-11","20.00元","7.5"
"6788019","失落大陸","","多木木多","","失落大陸訂製小組","2011-8","NT$200","7.4"
"1875481","二鬼子李富贵","网上连载用名：二鬼子汉奸李富贵","无语中","","当代世界出版社","2006","20.00元","8.2"
"1506009","恶魔俏精灵","","飞蓝飘雪","","","2006-1","16.00元","6.4"
"3756509","厨娘囧事","","'飞蓝飘雪'","''","''","'2006-1'","'16.00元'","6.6"
"2289349","卫国公主（共2册）","","弄雪","","珠海出版社","2007-09","22.0","6.1"
"2595334","尘世羁（上）","","沧海月明","","朝华出版社","2008-01","29.80元","6.9"
"24872206","医手遮天1·天玄大陆","","慕璎珞","","青岛出版社","2013-7","29.80元","6.2"
"2120769","灵魂等待三千年（壹、貳）","","邀生","","北方文艺出版社","2007-05","23.8","6.6"
"1546477","重返中世纪","","(美)克莱顿","祁阿红、闫卫平、王晓冬","译林出版社","2000年10月","20.80","7.6"
"20411512","江湖路弯弯","","影照","","江苏文艺出版社","2012-12","26.80元","7.5"
"3167113","白马啸清风","","12乖乖","","汕头大学出版社","2008-07","24.0","6.5"
"1822765","梦幻王朝（上下）","","秋风清","","海洋出版社","2006-04","42.0","6.8"
"3126471","大唐明月 卷四","因禍得福","藍雲舒","","希代","2012-10-17","NT$250","8.6"
"26774124","木兰无长兄3","","祈祷君","","百花洲文艺出版社","2016-5","29.80元","7.9"
"5346214","江山5·三分天下","","墨武","","云南人民出版社","2010-10","29.80元","8.4"
"5404738","游龙戏凤","","忆锦","","时代文艺出版社","2011-1","25.00元","6.5"
"2349951","凤舞大清Ⅱ","","沧海笑明月","","现代出版社","2007-12","23.0","7.3"
"2248256","清宫遗恨（全2册）","","王一一","","朝华出版社","2007-09","42.0","6.9"
"24750343","赢尽天下（套装共2册）","","仙魅","","青岛出版社","2013-6","49.80元","6.1"
"3133417","纳妾记3·纵火迷云","纵火迷云","沐轶","","百花洲文艺出版社","2008-06","24.8","7.3"
"2634772","Voyager","","Diana Gabaldon","","Delta","2001-8-7","USD 17.00","7.1"
"4210901","天外非仙","","玄色","","百花文艺出版社","2010-1","26.80元","6.9"
"20413736","芙蓉王妃（上下）","","安知晓","","青岛出版社","2013-1","59.80元","7.1"
"10827545","千蛊江山","","蓝云舒","","上海文艺出版社","2012-5-1","55.00元","6.8"
"3218209","繁华似锦浔城梦","","江南清秋月","","珠海出版社","2008-10","26.80元","5.6"
"2361716","指南录 1","斜阳","酒徒","","国际文化出版公司","2007-12","25.00元","7.4"
"26346927","神的孩子都旅行","","蒯乐昊 主编","","北京联合出版公司","2015-3-20","39.8","7.9"
"10580325","清朝经济适用男","","邹邹","","新世界出版社","2012-4","32.80元","7.5"
"20281266","九全十美1","","'邹邹'","''","'新世界出版社'","'2012-4'","'32.80元'","7.0"
"20502538","芙殤之雙飛","","明月璫","","藍襪子","2009-1","NTD 190","6.1"
"6310040","沧清成歌雪成烟","","'明月璫'","''","'藍襪子'","'2009-1'","'NTD 190'","7.0"
"3002672","狐魅天下·第二部·神武衣冠","","藤萍","","作家出版社","2008-02","25.0","8.7"
"3157873","次元艦隊(01)","","川口開治","許嘉祥","尖端","2001-07-31","110元","8.1"
"3244010","猫游记2","","禾早","","百花洲文艺出版社","2008-10","26.80元","7.6"
"3179223","唐朝好男人3","","多一半","","新星出版社","2008-07","26.00元","7.4"
"20396711","梦回大秦","","留雁","","中国华侨出版社","2013-1","29.80元","6.4"
"24283791","庶女攻略7","","吱吱","","浙江文艺出版社","2013-4","32.00元","7.1"
"20366853","时空之恋3","C调的翡翠绿","(德)科斯汀·吉尔","朱刘华","接力出版社","2012-11","32.00元","7.4"
"20645088","唐歌（上下）","","潇湘冬儿","","江苏文艺出版社","2013-2","49.80元","6.3"
"25856679","帝凰：名门庶女","","蔚然语风","","重庆出版社","2014-6-1","55.00","6.7"
"25877111","名門醫女（一）","","'蔚然语风'","''","'重庆出版社'","'2014-6-1'","'55.00'","7.4"
"3360545","何日再成人","","心香","","万卷出版公司","2008-12","25.00元","6.1"
"2331129","太后也疯狂","","无袖拢香","","现代出版社","2007-11","22.0","7.2"
"3115966","宫弑","","段琳琅","","陕西师范大学出版社","2008-08","26.80元","7.1"
"2141862","千山看斜阳","","'段琳琅'","''","'陕西师范大学出版社'","'2008-08'","'26.80元'","7.7"
"25889140","纨绔世子妃3·倾天下（上下）","","西子情","","青岛出版社","2014-6","59.80元","7.3"
"2284025","契丹王妃2","","薇络","","中国城市出版社","2007-10","24.0","7.0"
"4111162","梦回尼罗河之帝国王妃（上下）","","乔薇安","","新世界出版社","2009-11","49.80元","6.8"
"25700797","掌事(卷九)完","","清楓聆心","","說頻文化","2013-8-14","NTD 250","7.9"
"2061455","恍然如梦2","","月下箫声","","花山文艺出版社","2007-05","20.0","6.7"
"3326973","异世淘宝女王（上）","","柳暗花溟","","花山文艺出版社","2008-12","25.00元","7.0"
"1817623","商业三国（卷一）","","赤虎","","云南美术出版社","2006-05","25.0","7.7"
"1792075","天下·贰·龙啸","","宁致远","","朝华出版社","2006-04","22.0","8.4"
"3284078","江山如此多娇（上下）","","宁馨儿","","中国戏剧出版社","2008-11","50.00元","6.2"
"3446592","倾城别传 上、下","","李李翔","","长征出版社","2009年1月","26.80元","7.0"
"6425276","法老王的宠妃","","张薇薇","","文汇出版社","2011-3","26.80元","5.3"
"3126329","异世界情缘","","冷水月","","北京燕山出版社","2008-04","23.0","6.9"
"2076345","青莲记事1","","葡萄","","中国友谊出版公司","2006","20","7.5"
"2050143","凤霸天下Ⅲ·四国篇","","流玥","","中国友谊出版公司","2007-04","20.0","7.8"
"25700796","掌事(卷八)","","清楓聆心","","說頻文化","2013-7-31","NTD 250","8.0"
"5383652","下堂后","","seba蝴蝶","","雅书堂","2010-5-28","220","7.0"
"3881847","熙元纪事","","'seba蝴蝶'","''","'雅书堂'","'2010-5-28'","'220'","6.9"
"5357004","淘气小鱼的时空恋人","","浴红衣","","知识","2010-7","24.80元","7.6"
"3812633","天姬-上.下卷","","'浴红衣'","''","'知识'","'2010-7'","'24.80元'","6.1"
"10580922","冷情王爷命定妃","风起中文网","彼岸花在蔓延","","中国华侨出版社","2012-5","29.80元","6.0"
"2970250","折草记之文珠令","","湖月沉香","","现代出版社","2008-01","23.8","5.9"
"4891442","凤于九天26 动魄惊心","","風弄、王一","","威向文化","2012-7-20","NT190","8.4"
"2702580","祭司的情人（全2册）","","司徒妖妖","","现代出版社","2008-01","42.0","6.9"
"2162192","晓梦迷蝶·秋霁Ⅱ赋菊篇","","晚晴风景","","花山文艺出版社","2007-07","20.0","7.4"
"7916265","绝色锋芒","风华篇","无意宝宝","","朝华出版社","2012-1","49.80元","7.3"
"4161886","问镯","","寂月皎皎","","万卷","2009-11","25.00元","6.7"
"3045033","FLESH & BLOOD〈5〉","Flesh&Blood 海盗风云","松岡 なつき","","徳間書店","2003-6-23","JPY 540","9.0"
"26931567","会消失的人","","'松岡 なつき'","''","'徳間書店'","'2003-6-23'","'JPY 540'","8.6"
"26410978","美人难做","","橘花散里","","长江出版社","2015-3","35.00元","6.6"
"2975157","清风吹散往事如烟灭2·之子于归","","楚湘云","","朝华出版社","2008-01","29.8","6.9"
"2145950","爱在千年岁月中","","白菜","","中国友谊出版公司","2007-07","22.0","6.0"
"2212469","清秋大梦·壹","","姬流觞","","文化艺术出版社","2007-07","23.0","6.7"
"3023273","谁是我的小王子1","","江水萧萧","","花山文艺出版社","2008-03","26.8","7.2"
"25835992","一世倾城2","凤凰劫","苏小暖","","江苏文艺出版社","2014-2","55.00元","6.6"
"25909458","玉树临凤","","御井烹香","","江苏文艺出版社","2014-5-1","22.80元","7.1"
"4289105","小妾当然不如妻","","危栏","","万卷","2010-1","25.00元","6.4"
"4841659","江山2·南征北讨","","墨武","","云南人民出版社","2010-6","29.80元","8.4"
"3182179","我与诸葛孔明","","深水城","","重庆出版社","2008-09","29.80元","6.2"
"11602693","越姬（下）","","林家成","","天津人民出版社","2012-5","29.80元","7.3"
"3168444","纳妾记4·苗疆惨案","","沐轶","","百花洲文艺出版社","2008-08","24.8","7.2"
"3228754","尋找前世之旅4·通往冥界之路","","Vivibear","","耕林出版文化事業","2008-04","NT$ 200","7.6"
"2047286","秦姝","","哑丫","","大众文艺出版社","2007-03","25.0","6.4"
"4136866","仁醫 (2)","-JIN-","村上纪香","","正文社","2000","$33","8.6"
"6905496","你若不离不弃，我必生死相依","","薇络","","文汇出版社","2011-10","29.80元","6.9"
"3127865","兰陵缭乱3","","Vivibear","","朝华出版社","2008-07","25.0","7.7"
"3155198","囚娇龙","","十字贝","","安徽少年儿童出版社","2008-04","20.00元","6.5"
"10808229","神君妖娆","","张廉","","新世界出版社","2012-8","29.00元","7.2"
"3535470","发如雪","","林家成","","新世界出版社","2009-1","24.80元","6.3"
"1491654","纵横异界·亡灵圣灵Ⅱ","亡灵圣灵","羽散大地","","作家出版社","2006-01","16.0","7.1"
"2991237","1911新中华1","","天使奥斯卡","","花山文艺","2008-1","32.00元","7.5"
"3115874","千里东风一梦遥","","姬流觞","","朝华出版社","2008-06","29.80元","6.5"
"3361745","异世淘宝女王（中）","","柳暗花溟","","花山文艺出版社有限责任公司","2009-02","23.50元","7.4"
"3290876","奸商莫菲菲（上下）","","莫老爷","","作家出版社","2008-11","39.80元","6.2"
"3652839","X时空调查","","君天","","中国画报出版社","2009-4","23.80元","8.1"
"3662398","我是相国千金","","'君天'","''","'中国画报出版社'","'2009-4'","'23.80元'","7.2"
"26904433","醉玲珑","（十年珍藏版）","十四夜","","浙江文艺出版社","2016-11-1","89.00元","9.1"
"11445473","女法醫辣手摧夫記·下","","清歌一片","","藍襪子出版社","2011-12-20","NT$220元","7.3"
"2300047","满绿·我的古代罗曼史","","落客无涯","","文化艺术出版社","2007-09","23.00元","6.7"
"3867971","穿越霸王花2","","'落客无涯'","''","'文化艺术出版社'","'2007-09'","'23.00元'","7.6"
"5355967","天下为聘","","令狐兮兮","","新世纪起点出版社","2010","23RMB","6.9"
"3155216","女帝娉兰","","卡洛洛","","安徽少年儿童出版社","2008-07","20.0","6.9"
"11614383","血蝶御医（上、下册）","","蝶雨蓝梦","","青岛出版社","2012-9","59.80元","6.7"
"6732191","吟詠風歌(上冊)","","'蝶雨蓝梦'","''","'青岛出版社'","'2012-9'","'59.80元'","6.9"
"2999439","企鹅王妃","","乱异","","国际文化出版公司","2008-01","23.8","6.8"
"3651030","凤舞兰陵","","满座衣冠胜雪","","花山文艺出版社有限责任公司","2009-4","28.00元","6.0"
"10813132","第一丑妃","","风初落","","春风文艺出版社","2012-4","19.80元","4.9"
"3228736","尋找前世之旅2·毒藥公爵","","Vivibear","","耕林出版文化事業","2008-02","NT$ 200","7.6"
"3300557","纨绔子弟（全5册）","","郝歪","","珠海出版社","2008-3","125.00元","7.1"
"1566886","穿越时空的爱恋28集古装轻松偶像剧28碟装(VCD)","","","","贵州东方音像","1900-01-01","200.0","8.6"
"3127813","狐魅天下·第三部·故山旧侣","","藤萍","","作家出版社","2008-06","25.0","8.7"
"3021414","除了我你还能爱谁","","四叶铃兰","","朝华出版社","2008-03","29.80元","7.2"
"7162172","媚公卿（上下）","","林家成","","江苏文艺出版社","2011-12","49.80元","7.4"
"20470426","宋時行1","","風回","","九星文化","2012-6","NTD 170","7.2"
"4898688","精準的失控","","九把刀","","春天出版社","2010年07月12日","NT$ 280","8.2"
"2216340","迷途","","夜安","","作家出版社","2007-07","22.8","6.7"
"20433383","名門喜事1·孤女大翻身","","沐沐游","","希代","2012-12","NTD 250","7.0"
"3795515","胭脂碎（上下册）","","蔓凉","","重庆","2009-6","39.80元","7.3"
"2185067","望天1·天生我材","","之之","","花山文艺出版社","2007-08","22.8","6.9"
"20473579","惊世弃妃（全二册）","","马涵","","江苏文艺出版社","2013-1","59.80元","5.4"
"1943706","大清遗梦","","琉璃薄苏","","河南文艺出版社","2006-11","25.0","6.1"
"2221120","末世朱颜","","晓月听风","","作家出版社","2007-07","23.8","6.2"
"11634961","扶搖皇后·首部曲4·真武傾情","","天下歸元","","東佑文化","2012-2","NTD 250","7.7"
"20366854","时空之恋2","F调的宝石蓝","(德)科斯汀·吉尔","丁效","接力出版社","2012-11","29.80元","7.3"
"3739375","重生于康熙末年（四）","青云路","雁九","","黄山书社","2009-6","26.80元","7.8"
"10769944","穿越之傀儡娃娃","","小佚","","光明日报出版社","2012-7","59.80元","6.6"
"1834959","爱在西元年","","彭柳蓉","","知识出版社","2006-05","20.0","7.3"
"3360558","当美女变成丑女（上下）","","入眼迷花","","万卷出版公司","2008-12","48.00元","6.8"
"3133024","时空错·锦凤成凰","","水蝎佳人","","珠海出版社","2008-06","26.8","6.5"
"7684341","血族·邪瞳（上中下）","","北棠","","江苏文艺出版社","2012-1","75.00元","6.6"
"2368193","凤王，我在古代等着你","","漠情","","珠海出版社","2008-01","22.80元","4.8"
"19998202","冠蓋滿京華·卷一 京華侯府","","輔天","","藍海製作","2011-12-14","USD 17.00","7.0"
"11538799","花好孕圆（全二册）","","八月薇妮","","新世界出版社","2012-8","56.00元","5.6"
"20433671","美人殤3·風起雲湧","","夢三生","","樸實文化","2009-8","NTD 199","7.1"
"3816048","凤于九天 23 千里救援","","'夢三生'","''","'樸實文化'","'2009-8'","'NTD 199'","8.6"
"20433672","美人殤4·火燒洛陽","","夢三生","","樸實文化","2009-8","NTD 199","7.1"
"2989640","半月国物语","","檬羽","","新世纪出版社","2008-01","22.0","7.3"
"1022596","玫瑰庄园","","杨晶晶","","作家出版社","2003-03","19.00","6.8"
"5984997","慶餘年 貳部曲 15 戰雲詭譎","","'杨晶晶'","''","'作家出版社'","'2003-03'","'19.00'","8.9"
"1956466","水儿小俏奴","","蝶儿弄舞","","花山文艺出版社","2006-11","20.0","5.1"
"3106619","醉游记Ⅰ","","八喜","","南海出版公司","2008-06","26.8","7.6"
"3016101","女法医的御守爱情","","zita","","朝华出版社","2008-02","22.8","6.0"
"11532971","妖色大陆（全三册）","","林家成","","金城出版社","2012-9","76.80元","6.0"
"6139435","囧女辣手摧草录","","三日成妖","","山东画报出版社","2011-2","19.80元","7.2"
"5242195","窃明第二部·虎狼2","","灰熊猫","","辽宁教育出版社","2010-9","29.80元","7.4"
"5985017","慶餘年 參部曲 11 五竹（完）","","'灰熊猫'","''","'辽宁教育出版社'","'2010-9'","'29.80元'","8.6"
"3232127","大唐御医2","","江暮雪","","江苏文艺出版社","2008-09","28.0","7.5"
"21320246","藥結同心1","","希行","","麥田","2013-2-26","NTD 250","6.6"
"6059140","两番红尘","","西门砍砍","","云南人民出版社","2011-3","25.00元","7.7"
"3236131","第一皇妃1·天之驕女","","犬犬","","耕林出版文化事業","2008-04","NT$ 149","8.3"
"10799763","秘语森林","—《儿童文学》阳光书吧","王君心","","中国少年儿童新闻出版总社","2012-5","17.00元","7.3"
"1381504","鳳于九天之四興衰與共","凤于九天 之四 兴衰与共","风弄","","架空之都","2004-01-28","NT$ 180","8.5"
"6428343","穿二代斗争记","","紫鱼儿","","江苏文艺出版社","2011-5","28.00元","6.5"
"21320253","藥結同心3","","希行","","麥田","2013-3-14","NTD 250","6.7"
"3326916","清龙汉凤（全两册）","","张鹤玲","","朝华出版社","2009-01","45.00元","6.6"
"10434338","信長協奏曲 1","","石井 あゆみ","","小学館","2009-11-12","JPY 460","8.5"
"3726785","时光旅馆","","杨千紫","","重庆","2009-5-1","18.00元","6.6"
"25223130","大清法医","","单洪俊","","贵州人民出版社","2013-9-1","35.00","6.0"
"3872436","奇妙糖果屋","","梦三生","","华文出版社","2009-6","23.00元","7.8"
"3274361","DARLING来自未来","","米朵拉","","万卷出版公司","2008-11","24.00元","8.1"
"1381558","鳳于九天之五暗香魅影","凤于九天 之五 暗香魅影","风弄","","架空之都","2005-02-01","NT$ 180","8.5"
"2184729","穿越时空情迷五胡乱华2","","怜心","","花山文艺出版社","2007-08","22.0","6.1"
"24525928","大燕王妃","","澹台镜","","上海文艺出版集团发行有限公司（上海锦绣文章）","2013-4","26.80元","7.2"
"3746062","美人吟.飞花弄影","","夏雪缘","","知识出版社","1995-1","23.80元","9.2"
"1860532","凤于九天 之 威镇博间","凤于九天 之三 威镇博间","'夏雪缘'","''","'知识出版社'","'1995-1'","'23.80元'","8.5"
"25955155","纨绔世子妃4·点江山（上下）","","西子情","","青岛出版社","2014-8","59.80元","7.4"
"21320252","藥結同心2","","希行","","麥田","2013-3-5","NTD 250","6.5"
"2184929","穿越时空情迷五胡乱华1","","怜心","","花山文艺","2007-08","22.0","6.0"
"6509828","柳的四生","","山飒","","上海书店出版社","2011-6","20.00元","6.5"
"4133026","谁主金屋（全二册）","","孤钵","","江苏文艺出版社","2009-11","45.00元","6.8"
"26304533","大宋女刺客·完美终结（上下）","","袖唐","","江苏文艺出版社","2015-1","59.80元","6.8"
"3236139","第一皇妃6·真假皇妃","","犬犬","","耕林出版文化事業","2008-08","NT$ 200","8.1"
"3622270","重生于康熙末年（二）","繁华处","雁九","","黄山书社","2009-4","26.80元","8.0"
"2239437","戏龙记之完全古代","","喜善大人","","中国电影出版社","2007-07","23.0","7.3"
"2263932","四时花开之还魂女儿国3（大结局）","","宫藤深秀","","２１世纪出版社","2007-09","23.8","6.5"
"2073012","何处金屋可藏娇（共3册）","","那那","","华文出版社","2007-04","22.0","7.3"
"3100852","兰陵缭乱Ⅱ","","Vivibear","","朝华出版社","2008-06","22.0","7.7"
"3066980","谁是我的小王子3","","江水萧萧","","花山文艺出版社","2008-05","26.8","7.4"
"3030295","情倾天下Ⅲ大结局","","明珠","","陕西师范大学出版社","2008-03","20.00元","6.5"
"7916268","绝色锋芒","盛世篇","无意宝宝","","朝华出版社","2012-1","49.80元","6.7"
"6832288","一念起","","明月珰","","金城出版社","2011-10","29.80元","5.4"
"4007892","新宋03","3.今與古的對決","阿越","","鮮鮮文化","2008年05月13日","NTD240元","8.7"
"3989019","Time Travelers Wife","","Audrey Neffenegger","","Highbridge Audio","2003-09-15","USD 36.95","7.7"
"3633452","囧囧后宫记之入宫","","云易","","云南人民","2009-4","26.80元","6.7"
"1014751","异人傲世录1·异世逍遥","","明寐","","中国广播电视出版社","2005-01","20.0","8.4"
"2980053","绝恋·倾城系列","","'明寐'","''","'中国广播电视出版社'","'2005-01'","'20.0'","7.1"
"23860389","枪火皇后（上下）","","度寒","","现代出版社","2013-4","49.80元","7.0"
"26808396","中国社会科学院历史虚无主义批判文选","","中国社会科学院[编]","","中国社会科学出版社","2015-12-1","CNY 58.00","3.5"
"3532803","明朝五好家庭5（大结局）","彩虹堂","扫雪煮酒","","沈阳出版社","2009-1","25.00元","7.9"
"20497102","小娘子素手擒夫（上）","","清歌一片","","藍襪子","2013-1-8","NTD 220","6.6"
"10829785","御人（上下）","","峨嵋","","万卷出版公司","2012-7","49.80元","6.6"
"20450042","扶搖皇后·終結曲4·神秘穹蒼","","天下歸元","","東佑文化","2012-4","NTD 250","7.9"
"3221604","梦里已逝两千年（上下）","","安鸠","","广西师范大学出版社","2008-10","38.00元","6.6"
"3518091","异世淘宝女王（下）","","柳暗花溟","","花山文艺出版社有限责任公司","2009-3","25.00元","7.4"
"1708151","爱在公元前","","清歌漫","","现代出版社","2005-10-1","18.0","7.1"
"25712064","奸相萌女 卷1","相門是非多","姚十六","","夢田小筑","2013-9-2","NTD 250","7.4"
"19999299","剩女不淑1","","意千重","","說頻文化","2012-10-3","NTD 250","6.7"
"1962589","清楼女帝（上下）","","黄山","","团结出版社","2009-7","49.80元","6.4"
"20435378","一品妖嬈妻1·名門矜貴女","","半夏、吱吱","","藍海文化(新月)","2012-12-12","NTD 250","5.8"
"25797531","夜雪清歌(完结篇)","","秋水灵儿","","青岛出版社","2014-1","59.80元","7.2"
"5366036","穿prada的王妃","","'秋水灵儿'","''","'青岛出版社'","'2014-1'","'59.80元'","6.8"
"26376355","美人醉","","月满天心","","九州出版社","2015-5","29.80元","7.7"
"2112396","大清遗梦（终结篇）","","琉璃薄苏","","中国三峡出版社","2007-04","25.0","6.2"
"3795517","穿越霸王花","","'琉璃薄苏'","''","'中国三峡出版社'","'2007-04'","'25.0'","7.6"
"3840479","大唐寻情记（下）","","''琉璃薄苏''","''''","''中国三峡出版社''","''2007-04''","''25.0''","6.0"
"2064998","清梦奇缘","古代皇宫现代皇后","水蝎佳人","","中国三峡出版社","2007-4","22.0","6.3"
"5948763","復生 上","睚毗必报","愛爬樹的魚","","藍襪子出版社","2010-3-30","210","8.1"
"5396149","江山6·四海归一","","墨武","","云南人民","2010-12","29.80元","8.5"
"4915762","大龄宫女","","席绢","飞田文化","2010","07","NT 240","7.2"
"6070504","妖孽，别捉我！","","吾涯","","江苏文艺","2011-4","29.80元","6.9"
"6052975","姻缘","","秋夜雨寒","","国际文化","2011-1","28.00元","6.7"
"1443459","天狼之眼","尼罗河穿越时空奇幻三部曲之二","水心沙","","朝华出版社","2005-11","20.0","7.5"
"3271266","倾世魅惑","","寒菲子","","百花洲文艺出版社","2008-12","26.80元","6.5"
"25904032","花開春暖1","","閑聽落花","","麥田","2014-4-29","NTD 250","7.3"
"1491661","纵横异界·亡灵圣灵Ⅲ","亡灵圣灵","羽散大地","","作家出版社","2006-01","16.0","7.1"
"2281629","张三丰异界游","","'羽散大地'","''","'作家出版社'","'2006-01'","'16.0'","6.9"
"5327999","公主万万岁","","玄色","","北方妇儿","2010-11","29.80元","6.3"
"4210987","新中国","","陆士谔","","中国友谊出版公司","2009-12","28.80元","6.7"
"3244029","魔法特优生","","池小凡","","安徽少年儿童出版社","2008-10","24.00元","8.5"
"6440620","沉香破（全二册）","","闻情解佩","","万卷出版公司","2011-5-1","48.00元","5.4"
"6793129","独领风骚（全二册）","","张廉","","团结","2011-8","49.80元","7.0"
"5363959","信长协奏曲 Vol.1","","石井步","张芳馨","台湾东立出版社","2010-9-20","TWD 95.00","7.9"
"11510515","饕餮西施（下）","","今朝醉","清歌一片","藍海文化","2012-4-11","230NT$","7.2"
"6732190","吟詠風歌(下)","","'今朝醉'","'清歌一片'","'藍海文化'","'2012-4-11'","'230NT$'","7.1"
"2005545","红颜乱","","朵朵舞","","河南文艺出版社","2006-12-01","25.00元","7.4"
"10551119","桃花易躲，上仙难逑","","懒小水","","春风文艺出版社","2012-3","22.00元","5.8"
"2236771","叶·飘零（全2册）","叶飘零","紫萌","","天津人民出版社","2007-07","25.0","6.4"
"6521453","清梦·繁华冢","","'紫萌'","''","'天津人民出版社'","'2007-07'","'25.0'","6.9"
"26781143","全世界只有一个你","","金大","","百花洲文艺出版社","2016-6","49.80元","7.8"
"20501213","臨江仙（上）","","蝴蝶Seba","","雅書堂文化","2013-2-21","NTD 220","7.4"
"7047143","公主,不可以","","席江","","春风文艺","2011-11","16.80元","6.1"
"4173198","凤于九天24 惊隼大捷","","'席江'","''","'春风文艺'","'2011-11'","'16.80元'","8.6"
"2220882","后宫乱红颜怨（I.II册）","","闻婕","","世界知识出版社","2007-8","46.80元","6.4"
"2266389","玉座珠帘","","蕙质兰心","","文化艺术出版社","2007-09","25.0","6.3"
"2221116","魅惑帝王爱","","芥蓝","","朝华出版社","2007-07","24.0","5.9"
"26255849","纨绔世子妃6·定乾坤（上下）","","西子情","","青岛出版社","2014-11","59.80元","7.1"
"4183098","帝宠3·猪仪天下","","晚歌清雅","","文化艺术出版社","2009-11","19.80元","6.5"
"3210664","大唐御医1","","江暮雪","","江苏文艺出版社","2008-08","28.0","7.4"
"3165445","何者为卿狂","","小苏三","","珠海出版社","2008-09","26.80元","5.7"
"2156875","深宫之铿锵玫瑰","","舟洲","","花山文艺出版社","2007-07","23.8","6.4"
"2233712","清宫遗梦（全2册）","","长醉不醒","","大众文艺出版社","2007-07","40.0","6.1"
