25752955,来自新世界 （上下）,,[日] 贵志祐介,丁丁虫,上海译文出版社,2014-4,88.00,9.0
1779132,涼宮春日的消失,,谷川流,王敏媜,台灣角川,2005-9-16,NTD 180,9.1
3291518,未來都市NO.6 #01,,淺野敦子,,皇冠,2008-09-10,199元新台幣,9.0
4152806,水仙花 narcissu,,片岡とも、ごとP、いくたたかのん,陸怡帆,東立出版社,2009-12-03,NT$200,9.1
25985359,古书堂事件手帖 05,栞子与相连之时,[日] 三上延 著、[日] 越岛羽空 绘,朱悦玮,百花洲文艺出版社,2014-11-10,CNY 28.00,8.6
26794872,文豪野犬 01,太宰治的入社测试,[日] 朝雾卡夫卡 著、[日] 春河35 绘,陈玮,甘肃文化出版社,2016-6,26.00元,7.3
20493859,終わりのセラフ1 一瀬グレン、16歳の破滅,终结的炽天使1 一濑红莲、16岁的破灭,鏡 貴也,,講談社,2013-1-4,JPY 651,8.1
6549536,恋文的技术,,（日）森见登美彦,苏友友,新星出版社,2011-7,25.00元,8.1
1363029,屍鬼1,,小野不由美,何宜叡譯,尖端出版,20040415,NT$ 320,8.4
6758608,西湖六吊桥心中未遂,,柳具足,,辽宁教育出版社,2011-9-5,25.00元,8.9
5376908,背负污名的天使,文学少女4,[日] 野村美月 文、竹冈美穗 图,哈娜,人民文学出版社,2010-12,20.00元,8.7
5602871,雨樹之國,,有川浩,許金玉,新雨出版社,2011-5-15,250NT,7.5
10451981,谢谢你！坏运,,B.L. 著、REI 绘,,湖南美术出版社,2012-2,22.00元,7.0
25885612,两人距离的概算,“冰菓”系列5,[日] 米泽穗信,国杰,百花洲文艺出版社,2014-6-5,CNY 25.00,7.9
1057490,空之境界 未来福音,未来福音,奈须きのこ,,内蒙古少年儿童出版社,2008-9,15.00,8.9
5940450,第一辩手3·草场风云录,,双子星罗,,长江出版社,2011-2,14.80元,8.7
25817321,安達與島村 01,,入間人間、のん,哈泥蛙,台灣角川,2014-3-27,NT$180,8.2
6852176,月の珊瑚,,奈須 きのこ,,講談社,2011-10-14,JPY 3086,8.7
3242918,驚爆危機 02,無法置之不理的一匹狼,奈須 きのこ,,講談社,2011-10-14,JPY 3086,9.2
1821476,十二國記：月之影·影之海（下）,,小野不由美,泰瑞爾,尖端出版,2004-01,NT$ 200,9.1
26345629,ロード・エルメロイII世の事件簿 1,case.剥離城アドラ,小野不由美,泰瑞爾,尖端出版,2004-01,NT$ 200,8.3
26345078,超自然9人組 01,,志倉千代丸、pako,曾柏穎,青文出版社,2015-5-20,NT$240,7.2
