"1036793","杜拉斯传","","[法]劳拉·阿德莱尔","袁筱一","春风文艺出版社","2000-01-01","36.00","8.0"
"2269104","殘金缺玉","","古龍","","風雲時代","1998-07-01","150","5.6"
"1039752","且听风吟","","[日] 村上春树","林少华","上海译文出版社","2001-8","11.80元","7.8"
"3054821","渴望生活","梵高传","[美] 欧文·斯通","常涛","北京十月文艺出版社","2008-4","29.80元","9.2"
"1072239","和尚与哲学家","","让-弗朗索瓦.勒维尔(法)","陆元昶","江苏人民出版社","2005-5","19.00元","8.3"
"1440589","浪客剑心","","'让-弗朗索瓦.勒维尔(法)'","'陆元昶'","'江苏人民出版社'","'2005-5'","'19.00元'","8.7"
"1444157","几乎成了英雄","","张嘉佳","","新星出版社","2005-11","18.00元","7.2"
"1448477","日本简史","","王新生","","北京大学","2005-11","24.00元","6.4"
"1452923","九州·斛珠夫人","","萧如瑟","","新世界出版社","2006-1","20.00元","8.0"
"1470158","圆舞","","[加] 亦舒","","南海出版公司","2002-10","17.00元","8.0"
"1477146","豺狼的日子","","[英]弗·福塞斯","陈笃忱","中国电影出版社","1979-11","1.60","8.7"
"1485480","太和舞","","藤萍","","新星出版社","2005-10","16.00元","8.0"
"1861325","图解西藏生死书","以现代手法诠释千年密教经典","紫图","达赫","陕西师范大学出版社","2006-08","68.00","8.1"
"1856285","人生若只如初见","古典诗词的美丽与哀愁","安意如","","天津教育出版社","2006-8","23.80元","7.3"
"1828772","青春电影志","","唐朝晖","","重庆出版社","2006-6","29.80元","6.1"
"1489494","人与永恒","","周国平","","北岳文艺出版社","2006年2月1日","18.0","8.5"
"1793793","Thinking Architecture, 2nd Edition","","Peter Zumthor","","Birkhäuser Architecture","2006-6-1","USD 40.00","9.3"
"1793721","琴声如诉","","[法] 玛格丽特·杜拉斯","王道乾","上海译文出版社","2006-5","18.00元","7.9"
"1793718","爱","","[法] 玛格丽特·杜拉斯","王东亮","上海译文出版社","2006-5","18.00元","7.7"
"1791786","书城2006年6月号","","书城杂志社","","上海三联书店","200606","12.00","7.1"
"1790759","无爱不欢","","雪小禅","","朝华出版社","2006-5","20.00元","7.4"
"1705507","胭脂扣","","李碧华","","新世界出版社","2006-1","18.00元","8.0"
"1426817","陌生人日记","","让·科克托","周怡芳","华东师范大学出版社","2005","19.80元","8.3"
"1420664","艾米莉之恋","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛莉","史津海","浙江文艺出版社","2011-3","18.00元","8.6"
"1072767","宇宙","","（美）卡尔·萨根","周秋麟、吴依俤","吉林人民出版社","1998-11","25.00","9.1"
"1077528","通往奴役之路","","哈耶克","王明毅、冯兴元、等","中国社会科学出版社","1997-08-01","16.00","8.9"
"1078566","桃之夭夭","","王安忆","","上海文艺出版社","2004-01","20.00","7.6"
"1080370","情书","","[日] 岩井俊二","穆晓芳","天津人民出版社","2004-7","18.00元","8.6"
"1080812","红鞋","","张悦然","","上海译文出版社","2004-07","18.00元","7.1"
"1082172","蝴蝶过期居留","","张小娴","","南海出版公司","2002-2","15.00元","7.6"
"1084090","蒋梦麟自传","","蒋梦麟","","团结出版社","2004-10-1","48.0","8.2"
"1085799","白鹿原","","陈忠实","","人民文学出版社","1997年","28.00元","8.6"
"1358416","1.2.3.木頭人","Blinking Seconds","幾米、几米","","大塊文化","2001-10-8","NT$ 360","7.8"
"1361264","撒哈拉的故事","","三毛","","皇冠出版社","1976","160 TWD","9.0"
"1382829","萬水千山走遍","","'三毛'","''","'皇冠出版社'","'1976'","'160 TWD'","8.6"
"1385988","失落的指纹","","派翠西亞·康薇爾","嚴韻","臉譜","20000710","144.00元","7.8"
"1393447","忧郁的热带","","[法] 列维-斯特劳斯","王志明","生活·读书·新知三联书店","2005-6","29.80元","9.1"
"1393907","揚眉女子","","'[法] 列维-斯特劳斯'","'王志明'","'生活·读书·新知三联书店'","'2005-6'","'29.80元'","8.6"
"1420663","艾米莉的诗样年华","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛利","王小丹","浙江文艺出版社","2011-3","20.00元","8.8"
"1793718","爱","","[法] 玛格丽特·杜拉斯","王东亮","上海译文出版社","2006-5","18.00元","7.7"
"1793721","琴声如诉","","[法] 玛格丽特·杜拉斯","王道乾","上海译文出版社","2006-5","18.00元","7.9"
"1793793","Thinking Architecture, 2nd Edition","","Peter Zumthor","","Birkhäuser Architecture","2006-6-1","USD 40.00","9.3"
"1828772","青春电影志","","唐朝晖","","重庆出版社","2006-6","29.80元","6.1"
"1856285","人生若只如初见","古典诗词的美丽与哀愁","安意如","","天津教育出版社","2006-8","23.80元","7.3"
"1861325","图解西藏生死书","以现代手法诠释千年密教经典","紫图","达赫","陕西师范大学出版社","2006-08","68.00","8.1"
"1477146","豺狼的日子","","[英]弗·福塞斯","陈笃忱","中国电影出版社","1979-11","1.60","8.7"
