3083692,做最创意的节目,对话英国权威电视制片人,崔莹,,南方日报出版社,2008-5,38.00元,7.5
1937913,无懈可击的Web设计,利用XHTML和CSS提高网站的灵活性与适应性,Dan Cederholm,常可、刘申,清华大学出版社,2006,49.80元,8.1
6781677,爱上Arduino,,[美] 班兹 (Banzi, Massimo),郭浩赟、于欣龙,人民邮电出版社,2011-8,38.00元,6.6
1916758,Beautiful Evidence,,Edward R. Tufte,,Graphics Press,2006-07,USD 52.00,8.9
1872483,Mobile Interaction Design,,Matt Jones、Gary Marsden,,John Wiley & Sons,2006-02-10,USD 60.00,8.1
24858505,易用为王,改进产品设计的10个策略,[美] Eric Reiss,李会丹、张　杰,人民邮电出版社,2013-8,59.00,7.2
1316642,The Visual Display of Quantitative Information,,Edward R. Tufte,,Graphics Pr,2001.05,USD 40.00,9.0
1340897,Picture This,How Pictures Work,Molly Bang,,Chronicle Books,2004-10-26,CAD 14.99,8.7
2128991,Interaction of Color,Revised and Expanded Edition,Josef Albers,,Yale University Press; Rev Exp edition (May 15, 2006),2006-5-15,$15,9.1
2158544,WWW & DESIGN,,Azur Corporation,,Architecture & Journalism Co.,Ltd.,2008-4,280,8.3
2175995,CSS网站布局实录（第2版）,基于Web标准的网站设计指南,李超,,科学出版社,2007-9,39.00元,8.3
1097564,24重人格,,[美] 卡梅伦·韦斯特,李永平,上海译文出版社,2003-2,20.00元,7.8
2155227,Inside Facebook,Life, Work and Visions of Greatness,Karel M. Baloun,,Trafford Publishing,2007-04-25,USD 14.50,7.3
2128082,创意的构想,,大前研一,庄娜,中信出版社,2007-6,22.00元,7.3
1615055,工业设计心理学,,李乐山,,高等教育出版社图书发行部（兰色畅想）,2004-1,25.70元,7.6
26905838,视觉思维,3分钟绘画 3秒钟共享 思维整理法,[韩] 郑珍好,潘翔,中国铁道出版社,2016-10,32.50元,7.5
1500189,情趣的设计世界,,张剑,,福建美术出版社,2005-7,45.0,7.0
1493780,心理与行为科学统计,,甘怡群,,北京大学出版社,2005,28.8,8.3
1491830,栅格系统与版式设计,,金伯利·伊拉姆,王昊,上海人民美术出版社,2006-1,48.00元,8.4
2050858,Interaction Design,Beyond Human-Computer Interaction,Helen Sharp、Yvonne Rogers、Jenny Preece,,Wiley,2007-3-23,$ 113.00,8.1
1484389,Contextual Design,Defining Customer-Centered Systems,Hugh Beyer、Karen Holtzblatt,,Morgan Kaufmann,1997-9-15,USD 85.95,7.6
2052176,CSS禅意花园,Web视觉艺术设计的王者之书,[美] Dave Shea、Molly E. Holzschlag,陈黎夫、山崺颋,人民邮电出版社,2007-6,49.00元,8.4
2050858,Interaction Design,Beyond Human-Computer Interaction,Helen Sharp、Yvonne Rogers、Jenny Preece,,Wiley,2007-3-23,$ 113.00,8.1
