1232029,C专家编程,,[美] Peter Vander Linde,徐波,人民邮电出版社,2002-12,40.00元,9.1
1237970,旷世之战――IBM深蓝夺冠之路,,纽伯,邵谦谦,清华大学出版社,2004-5,35.0,7.4
1104953,中国电影名片快读,,路海波,,四川文艺出版社,2003-1,25.00元,6.5
1231934,Perl语言入门,,[美] Randal L.Schwartz、Tom Phoenix,,中国电力出版社,2002-8,48.00元,8.7
1243974,C++面向对象程序设计,基础、数据结构与编程思想,萨维奇 (Walter Savitch),周靖,清华大学出版社,2003-12,59.0,7.2
1283244,ACM图灵奖演讲集,前20年,阿申豪斯特,苏运霖,电子工业出版社,2005-4,55.0,7.8
1289136,C语言的科学和艺术,,罗伯茨,翁惠玉,机械工业出版社,2005-3,55.00元,8.5
1241361,学习bash,Learning the bash Shell, Second Edition,Cameron Newham、Bill Rosenblatt,徐炎、查石祥,机械工业出版社,2003-1-1,45.00,7.5
1241039,Fortran95程序设计,,彭国伦,,中国电力出版社,2002-9,59.00元,8.7
1232017,面向模式的软件体系结构(卷1) (平装),,Frank Buschmann、Regine meunier、Hans Rohnert、Peter Sommerlad、Michael Stal,贲可荣、郭福亮,机械工业出版社,2003-1,45.0,7.7
1232029,C专家编程,,[美] Peter Vander Linde,徐波,人民邮电出版社,2002-12,40.00元,9.1
1237970,旷世之战――IBM深蓝夺冠之路,,纽伯,邵谦谦,清华大学出版社,2004-5,35.0,7.4
1239416,Visual C++/Turbo C串口通信编程实践,,熊光明,,电子工业出版社,2004-10,55.0,7.5
1110934,STL源码剖析,,侯捷,,华中科技大学出版社,2002-6,68.00元,8.7
1119944,Web协议与实践,HTTP1.1、网络协议、缓存技术和流量测量,克里希纳穆尔蒂 (KrishnamurthyBalachander),范群波,科学出版社,2003-7,46.0,8.0
1283244,ACM图灵奖演讲集,前20年,阿申豪斯特,苏运霖,电子工业出版社,2005-4,55.0,7.8
1289136,C语言的科学和艺术,,罗伯茨,翁惠玉,机械工业出版社,2005-3,55.00元,8.5
1291204,哥德尔、艾舍尔、巴赫,集异璧之大成,[美] 侯世达,严勇、刘皓明、莫大伟,商务印书馆,1997-5,88.00元,9.4
1672297,计算机操作系统,,,,西安电子科技大学出版,1984-11,19.60元,6.7
1243974,C++面向对象程序设计,基础、数据结构与编程思想,萨维奇 (Walter Savitch),周靖,清华大学出版社,2003-12,59.0,7.2
1241361,学习bash,Learning the bash Shell, Second Edition,Cameron Newham、Bill Rosenblatt,徐炎、查石祥,机械工业出版社,2003-1-1,45.00,7.5
1231934,Perl语言入门,,[美] Randal L.Schwartz、Tom Phoenix,,中国电力出版社,2002-8,48.00元,8.7
1232017,面向模式的软件体系结构(卷1) (平装),,Frank Buschmann、Regine meunier、Hans Rohnert、Peter Sommerlad、Michael Stal,贲可荣、郭福亮,机械工业出版社,2003-1,45.0,7.7
1232029,C专家编程,,[美] Peter Vander Linde,徐波,人民邮电出版社,2002-12,40.00元,9.1
1237970,旷世之战――IBM深蓝夺冠之路,,纽伯,邵谦谦,清华大学出版社,2004-5,35.0,7.4
1239416,Visual C++/Turbo C串口通信编程实践,,熊光明,,电子工业出版社,2004-10,55.0,7.5
1241039,Fortran95程序设计,,彭国伦,,中国电力出版社,2002-9,59.00元,8.7
